exp(in months),salary(in thousands)
18.29029331840369,16.52182490535894
17.023406691171306,11.666233723936466
26.343613477194726,23.167254546085978
19.105833871730955,20.877145423479412
27.742516466299612,23.166235691979292
31.67117131063383,32.966250758985865
14.186398632395658,15.294169542666104
29.932845002865303,33.15946112615957
32.841327352783395,32.032652899109856
26.873869105017107,32.34778357584536
41.51380791372203,38.24687555984163
32.201177644235905,22.773602615923114
34.738225843595934,39.55484070576707
27.51493134666241,26.922870208080727
25.761258165259008,28.116477113988843
36.925318094362886,32.53300295442946
23.747002495130697,26.04333166434784
24.093487821383693,24.086040974804074
16.133802149279816,20.91991067539778
23.252563001889353,21.04163596192851
25.630582043486047,25.718711168720468
27.599185817744136,25.59144378791352
22.921104267369937,28.906516511515257
20.05168097966031,18.304405495363973
24.983047248781943,22.236210254591654
33.91865278889753,35.84581749059535
44.45485383652209,33.880037522316336
19.58633060677353,15.425007614096419
18.51115732632242,17.939584937799403
31.541654005252816,34.29649186798952
31.71843486010057,33.22816701111831
18.32610618814218,29.33940106787522
21.348023363896953,16.877960869113906
26.910069919575037,25.28793948867826
34.93973987444071,33.34363003447438
27.330557949358273,29.719016053546504
21.364141873901794,31.50346437842722
29.78202485733172,31.891581733044262
15.747944609873812,11.766713444585461
14.396826593210815,18.726050290152706
28.50094975922608,25.14671576593453
21.880097257207353,30.956644082720796
10.591314853822928,18.59792877117084
17.12255631971688,17.09070228752705
36.48815058421477,43.247081979644264
19.531433402318093,21.849107213604775
34.00288198307736,22.441635356043047
43.27144686955077,52.85914566419412
20.476479923990517,22.13167952978297
4.936083791757401,18.686990018434674
21.173974683821235,31.487495135227046
34.3934181179448,35.667292703274924
27.062204051071262,29.23848608399292
33.723395346177185,41.54086469703128
28.630740939153586,32.67293142783152
25.312274062669765,30.08146508960951
27.337593925722434,28.44371364871443
18.614500004339817,25.83807528533155
31.876558117699577,39.44702365687301
34.60896563365239,32.152417042525826
17.060086976614368,12.949522358784982
25.743915606255378,14.741576427303434
34.15232256916958,26.54923556134228
20.95214792930394,24.060774635855495
12.014850316212565,10.642280115867505
12.4082567685906,15.938904151370147
29.338543859952853,33.86065242342299
31.20573763997685,28.9229164007443
23.964725418607628,20.3449543779907
7.304762667776583,8.483358558877278
36.8116731120364,24.868204478442614
19.96209510811049,16.70901158577768
46.1547915759803,44.891635817592075
13.911901797810291,11.372365365890523
28.21940645829614,20.767292367903572
16.69397781303872,20.926954418366975
25.054500719885624,19.32875795789301
20.587778014529146,22.613373033168873
24.372663745374677,20.11548744055985
35.037612920624085,33.934405486469124
38.2288915713585,39.625527267796144
31.306851019002004,31.03146071677933
28.64565181975457,25.73897220291734
27.943138069028905,32.12335096981062
31.052167416965858,34.18561683454314
19.081587548915707,24.242393823472895
46.69068441888163,55.29701647168527
31.54187101528438,28.346070204485205
26.92575422584899,18.856517897650864
21.79421046358941,21.94164077128801
37.68298208975948,34.45731216982409
11.15863587893216,9.206941606365447
44.14309730266764,37.11021101532811
36.17337413418784,41.62325747754015
46.62312496824923,47.21657054618716
20.133832159702738,27.033713365943687
22.266668303015233,28.806816678194036
26.84722691718444,28.34933112003717
33.027640617128455,31.538619685802527
22.18997390912028,33.60934166818038
23.80468506016493,19.139924325725485
11.323830138093012,13.956590358118014
14.107591726993968,12.158176318486937
17.76690983200837,17.481402720438446
29.906658295232095,39.51876961505498
34.01002098098573,24.061592670710514
22.595597604073756,14.400365010767821
28.771521211924448,31.3538678006743
3.1535460507469857,2.8563673255798037
26.69784098194392,30.2101501351832
33.13711104710234,40.052993551896876
30.401226214199355,27.74052643074803
23.105017575545933,17.947863635459562
14.455700731208807,23.972982567371695
14.414220401466252,19.01459700369354
34.174265901983205,27.164560446016825
30.548236356594394,35.97256762196151
23.560012535400475,26.894982703493326
30.782607155800196,42.523806607645255
9.543038445153297,12.030859721848184
24.608791311473194,23.638539204530247
31.012563068326266,36.21455744107118
25.892026594784916,29.450010953902282
21.962905971451505,17.85394258188802
22.78594541212088,31.4486858235083
26.67636453123795,31.490077147152284
23.547483162903948,22.41104901540594
47.787643408621776,47.22793229235543
25.98755130646925,24.2848977621023
26.25477770503695,21.448288795172026
28.825921637184926,28.455407333521812
19.91661985730626,23.810729767215662
29.120266878994315,23.757667224086596
8.520650916820959,-1.2763422707877368
21.075419990455288,20.190909581365162
11.212569584822134,7.903429572340681
24.079931806939104,27.837350757896576
3.567738758593965,17.596696844222862
37.330679845911234,26.128318972151902
15.445179118551124,22.561767352916974
17.599284883142666,29.378484517416794
31.4216613393632,38.54010298918272
26.07416029902864,26.549101695436306
36.720380221295216,25.723930054686974
27.219552751783656,26.79204699212244
23.48005468641255,24.803161777520423
19.52543809183948,22.22798385955134
24.388743534687617,23.597526987521867
23.59449816603655,21.56172247870862
35.613319484387034,32.867209584940255
31.214899912692545,35.979979526659776
19.93924560169456,20.602945537902478
37.396947777728776,33.33169867667081
16.02136330857475,15.872766147708498
